obj,lowerBound,time,img,method,nn_id
-7.552047795960029,-3.6542495011788807,322.211,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.211,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.211,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.212,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.212,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.212,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.212,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.212,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.213,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.213,12,cayley,5
-7.552047795960029,-3.664732424308529,322.213,12,cayley,5
-7.552047795960029,-3.664732424308529,322.213,12,cayley,5
-7.552047795960029,-3.664732424308529,322.214,12,cayley,5
-7.552047795960029,-3.664732424308529,322.214,12,cayley,5
-7.552047795960029,-3.664732424308529,322.214,12,cayley,5
-7.552047795960029,-3.664732424308529,322.214,12,cayley,5
-7.552047795960029,-3.664732424308529,322.215,12,cayley,5
-7.552047795960029,-3.664732424308529,322.215,12,cayley,5
-7.552047795960029,-3.664732424308529,322.215,12,cayley,5
-7.552047795960029,-3.664732424308529,322.215,12,cayley,5
-7.552047795960029,-3.664732424308529,322.215,12,cayley,5
-7.552047795960029,-3.664732424308529,322.216,12,cayley,5
-7.552047795960029,-3.664732424308529,322.216,12,cayley,5
-7.552047795960029,-3.664732424308529,322.216,12,cayley,5
-7.552047795960029,-3.664732424308529,322.216,12,cayley,5
-7.552047795960029,-3.664732424308529,322.217,12,cayley,5
-7.552047795960029,-3.664732424308529,322.217,12,cayley,5
-7.552047795960029,-3.664732424308529,322.217,12,cayley,5
-7.552047795960029,-3.664732424308529,322.217,12,cayley,5
-7.552047795960029,-3.664732424308529,322.218,12,cayley,5
-7.552047795960029,-3.664732424308529,322.218,12,cayley,5
-7.552047795960029,-3.664732424308529,322.218,12,cayley,5
-7.552047795960029,-3.664732424308529,322.218,12,cayley,5
-7.552047795960029,-3.664732424308529,322.219,12,cayley,5
-7.552047795960029,-3.664732424308529,322.219,12,cayley,5
-7.552047795960029,-3.664732424308529,322.219,12,cayley,5
-7.552047795960029,-3.669429562012082,322.219,12,cayley,5
-7.552047795960029,-3.669429562012082,322.219,12,cayley,5
-7.552047795960029,-3.669429562012082,322.22,12,cayley,5
-7.552047795960029,-3.669429562012082,322.22,12,cayley,5
-7.552047795960029,-3.669429562012082,322.22,12,cayley,5
-7.552047795960029,-3.669429562012082,322.22,12,cayley,5
-7.552047795960029,-3.669429562012082,322.221,12,cayley,5
-7.552047795960029,-3.669429562012082,322.221,12,cayley,5
-7.552047795960029,-3.669429562012082,322.221,12,cayley,5
-7.552047795960029,-3.669429562012082,322.221,12,cayley,5
-7.552047795960029,-3.669429562012082,322.23,12,cayley,5
-7.552047795960029,-3.669429562012082,322.231,12,cayley,5
-7.552047795960029,-3.669429562012082,322.231,12,cayley,5
-7.552047795960029,-3.669429562012082,322.231,12,cayley,5
-7.552047795960029,-3.669429562012082,322.231,12,cayley,5
-7.552047795960029,-3.669429562012082,322.232,12,cayley,5
-7.552047795960029,-3.669429562012082,322.232,12,cayley,5
-7.552047795960029,-3.669429562012082,322.232,12,cayley,5
-7.552047795960029,-3.669429562012082,322.232,12,cayley,5
-7.552047795960029,-3.669429562012082,322.233,12,cayley,5
-7.552047795960029,-3.669429562012082,322.233,12,cayley,5
-7.552047795960029,-3.669429562012082,322.233,12,cayley,5
-7.552047795960029,-3.669429562012082,322.233,12,cayley,5
-7.552047795960029,-3.669429562012082,322.233,12,cayley,5
-7.552047795960029,-3.669429562012082,322.242,12,cayley,5
-7.552047795960029,-3.669429562012082,322.243,12,cayley,5
-7.552047795960029,-3.669429562012082,322.243,12,cayley,5
-7.552047795960029,-3.669429562012082,322.243,12,cayley,5
-7.552047795960029,-3.669429562012082,322.244,12,cayley,5
-7.552047795960029,-3.669429562012082,322.244,12,cayley,5
-7.552047795960029,-3.669429562012082,322.244,12,cayley,5
-7.552047795960029,-3.669429562012082,322.244,12,cayley,5
-7.552047795960029,-3.669429562012082,322.245,12,cayley,5
-7.552047795960029,-3.669429562012082,322.245,12,cayley,5
-7.552047795960029,-3.669429562012082,322.245,12,cayley,5
-7.552047795960029,-3.669429562012082,322.245,12,cayley,5
-7.552047795960029,-3.669429562012082,322.245,12,cayley,5
-7.552047795960029,-3.669429562012082,322.246,12,cayley,5
-7.552047795960029,-3.669429562012082,322.246,12,cayley,5
-7.552047795960029,-3.669429562012082,322.246,12,cayley,5
-7.552047795960029,-3.669429562012082,322.246,12,cayley,5
-7.552047795960029,-3.669429562012082,322.247,12,cayley,5
-7.552047795960029,-3.669429562012082,322.247,12,cayley,5
-7.552047795960029,-3.669429562012082,322.247,12,cayley,5
-7.552047795960029,-3.669429562012082,322.256,12,cayley,5
-7.552047795960029,-3.669429562012082,322.256,12,cayley,5
-7.552047795960029,-3.669429562012082,322.257,12,cayley,5
-7.552047795960029,-3.669429562012082,322.257,12,cayley,5
-7.552047795960029,-3.669429562012082,322.257,12,cayley,5
-7.552047795960029,-3.674866436659972,322.266,12,cayley,5
-7.552047795960029,-3.674866436659972,322.267,12,cayley,5
-7.552047795960029,-3.674866436659972,322.267,12,cayley,5
-7.552047795960029,-3.674866436659972,322.267,12,cayley,5
-7.552047795960029,-3.674866436659972,322.268,12,cayley,5
-7.552047795960029,-3.674866436659972,322.268,12,cayley,5
-7.552047795960029,-3.674866436659972,322.268,12,cayley,5
-7.552047795960029,-3.674866436659972,322.268,12,cayley,5
